"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"Wood","Wood","County","55141","WI","Wisconsin","44.4553","-90.0416","74107"
"Winnebago","Winnebago","County","55139","WI","Wisconsin","44.0689","-88.6446","171304"
"Waushara","Waushara","County","55137","WI","Wisconsin","44.1131","-89.2429","24527"
"Waupaca","Waupaca","County","55135","WI","Wisconsin","44.4705","-88.9648","51769"
"Waukesha","Waukesha","County","55133","WI","Wisconsin","43.0182","-88.3045","405332"
"Washington","Washington","County","55131","WI","Wisconsin","43.3685","-88.2307","136300"
"Washburn","Washburn","County","55129","WI","Wisconsin","45.8992","-91.7912","16561"
"Walworth","Walworth","County","55127","WI","Wisconsin","42.6685","-88.5419","105945"
"Vilas","Vilas","County","55125","WI","Wisconsin","46.0529","-89.5148","22813"
"Vernon","Vernon","County","55123","WI","Wisconsin","43.5939","-90.8344","30719"
"Trempealeau","Trempealeau","County","55121","WI","Wisconsin","44.304","-91.3585","30504"
"Taylor","Taylor","County","55119","WI","Wisconsin","45.2116","-90.5012","19960"
"St. Croix","St. Croix","County","55109","WI","Wisconsin","45.034","-92.4526","92495"
"Sheboygan","Sheboygan","County","55117","WI","Wisconsin","43.7212","-87.9454","117528"
"Shawano","Shawano","County","55115","WI","Wisconsin","44.7891","-88.7654","40836"
"Sawyer","Sawyer","County","55113","WI","Wisconsin","45.88","-91.1445","17813"
"Sauk","Sauk","County","55111","WI","Wisconsin","43.4267","-89.9482","65428"
"Rusk","Rusk","County","55107","WI","Wisconsin","45.4751","-91.1332","14182"
"Rock","Rock","County","55105","WI","Wisconsin","42.6712","-89.0716","163522"
"Richland","Richland","County","55103","WI","Wisconsin","43.3756","-90.4295","17353"
"Racine","Racine","County","55101","WI","Wisconsin","42.7475","-88.0613","197379"
"Price","Price","County","55099","WI","Wisconsin","45.6804","-90.3614","14003"
"Portage","Portage","County","55097","WI","Wisconsin","44.476","-89.5014","70378"
"Polk","Polk","County","55095","WI","Wisconsin","45.4614","-92.4414","44806"
"Pierce","Pierce","County","55093","WI","Wisconsin","44.7194","-92.4224","42204"
"Pepin","Pepin","County","55091","WI","Wisconsin","44.5829","-92.0015","7328"
