,ID,name,size,maxdepth,meandepth,lat,lon,hasservice,haslanding,hasbeach,haspark,type,clarity,county,predicted,probability
0,2087000,0.3 Reservoir,7.0,1.6667459501919635,0.8333729750959817,45.21693,-91.647285,0,0,0,0,Missing,Missing,Barron,0,0.06896551724137931
1,1730200,1.95 Reservoir,15.0,3.5715984646970647,1.7857992323485323,44.453564,-90.46122,0,0,0,0,DRAINAGE,Missing,Clark,0,0.2413793103448276
2,2243200,Aabajijiwang Flowage,84.0,7.0,3.5,45.8034145,-90.3407362,1,0,0,1,DRAINAGE,Missing,Price,0,0.4827586206896552
3,2142200,Abbot Ranch Flowage,3.0,6.0,3.0,44.6281997,-90.8444675,0,0,0,0,DRAINAGE,Missing,Clark,0,0.1724137931034483
4,1432900,Abbotsford Pond,4.0,5.0,2.5,44.9763306,-90.2615917,0,0,0,0,DRAINAGE,Missing,Marathon,0,0.1724137931034483
5,966900,Abel Lake,6.0,7.0,3.5,45.5053182,-89.4289076,0,0,0,0,SEEPAGE,Missing,Lincoln,0,0.2413793103448276
6,1831600,Ace-In-The-Hole Lake,7.0,48.0,24.0,45.2308231,-91.4097,1,0,0,1,SEEPAGE,Missing,Chippewa,0,0.3103448275862069
7,967000,Ackerman Lake,19.0,25.0,12.5,45.283056,-89.6336822,1,0,0,1,SEEPAGE,Missing,Lincoln,1,0.6206896551724138
8,417300,Ada Lake,75.0,60.0,16.0,45.3717676,-88.7365097,1,1,0,1,SEEPAGE,Missing,Langlade,1,0.6551724137931034
9,967100,Adams Lake,9.0,14.0,7.0,45.9700913,-89.2655273,0,0,0,0,SEEPAGE,Missing,Vilas,0,0.41379310344827586
10,267800,Adams Lake,30.0,44.0,17.0,44.4366549,-89.3813373,1,1,0,1,SPRING,Missing,Portage,0,0.4827586206896552
11,2753800,Adeline Lake,3.0,25.0,12.5,46.3026061,-91.1665211,1,0,0,1,SEEPAGE,Missing,Bayfield,0,0.4827586206896552
12,1831800,Adina Lake,19.0,10.0,5.0,45.9583926,-91.4407826,0,0,0,0,SEEPAGE,Missing,Sawyer,0,0.27586206896551724
13,2449100,Adventure Lake,14.0,36.0,18.0,46.0897679,-91.940369,0,0,0,0,SEEPAGE,Missing,Washburn,0,0.3103448275862069
14,1624100,Afterglow Lake,32.0,40.0,20.0,46.0862733,-89.0833591,1,0,0,1,SEEPAGE,Missing,Vilas,1,0.5517241379310345
15,773900,Afton Gravel Pits,3.0,27.0,13.5,42.6102231,-89.0757374,0,0,0,0,SEEPAGE,Missing,Rock,0,0.4482758620689655
16,2753900,Ahmeek Lake,53.0,24.0,10.0,46.5228408,-91.4662555,0,0,0,0,SEEPAGE,Missing,Bayfield,1,0.5517241379310345
17,967200,Airhole Lake,84.0,10.0,5.0,45.3926914,-89.2443295,0,0,0,0,SEEPAGE,Missing,Langlade,0,0.20689655172413793
18,2449200,Alabama Lake,132.0,28.0,7.0,45.6132902,-92.6243525,1,1,0,0,SEEPAGE,Missing,Polk,1,0.6551724137931034
19,880000,Albany Lake (Millpond),102.0,8.0,4.0,42.7065972,-89.4393611,0,0,0,0,DRAINAGE,Missing,Green,1,0.6206896551724138
20,2329600,Alder Lake,264.0,30.0,15.0,46.0880994,-89.8195862,1,1,0,1,DRAINAGE,Missing,Vilas,1,0.6896551724137931
21,1831900,Alder Lake,13.0,32.0,16.0,45.7817023,-91.7619486,0,0,0,0,SEEPAGE,Missing,Washburn,0,0.3103448275862069
22,967300,Alder Pond,4.0,26.0,13.0,43.3066202,-89.6561735,0,0,0,0,SEEPAGE,Missing,Columbia,0,0.2413793103448276
23,854900,Alderley Millpond,19.0,10.0,3.0,43.2199957,-88.4490424,0,0,0,0,DRAINAGE,Missing,Dodge,1,0.5862068965517241
24,1666600,Alderwood Lake,10.0,6.0,3.0,44.0880111,-90.6604667,0,0,0,0,DRAINAGE,Missing,Monroe,1,0.6896551724137931
25,967400,Aldridge Lake,142.0,12.0,6.0,45.8659415,-89.3012762,1,0,0,1,DRAINED,Low,"Vilas, Oneida",1,0.6896551724137931
26,2754000,Alex Pond,9.0,2.142959078818239,1.0714795394091194,46.5952947,-90.6849583,0,0,0,0,SEEPAGE,Missing,Ashland,0,0.41379310344827586
27,1494600,Alexander Lake,618.0,36.0,18.0,45.186975,-89.7571278,1,1,1,0,DRAINAGE,Missing,Lincoln,1,0.8275862068965517
28,2449300,Alexander Lake,50.0,10.0,5.0,46.2188404,-91.6813247,1,1,0,0,SEEPAGE,Missing,Douglas,0,0.41379310344827586
29,967500,Alga Lake,10.0,12.0,6.0,45.3442191,-89.2059549,0,0,0,0,SEEPAGE,Missing,Langlade,0,0.3448275862068966
30,967700,Alice Lake,18.0,21.0,10.5,45.8026853,-89.7322627,1,0,0,1,SEEPAGE,Missing,Oneida,0,0.3448275862068966
31,967600,Alice Lake,10.0,15.0,7.5,45.6044334,-89.4972697,0,0,0,0,SEEPAGE,Missing,Oneida,0,0.4827586206896552
32,967800,Allen Lake,9.0,40.0,20.0,45.3425375,-89.570364,1,0,0,1,SEEPAGE,Missing,Lincoln,0,0.3448275862068966
33,2325900,Allen Lake,7.0,10.0,5.0,46.1605405,-89.9942655,1,0,0,1,DRAINAGE,Missing,Iron,1,0.5517241379310345
34,2332400,Allequash Lake,406.0,24.0,10.0,46.0369394,-89.6288435,1,1,0,1,DRAINAGE,Missing,Vilas,1,0.6551724137931034
35,2332700,Allequash Springs,8.0,9.0,4.5,46.0328132,-89.5826493,1,1,0,1,SPRING,Missing,Vilas,0,0.3448275862068966
36,316300,Allerton Lake,3.0,17.0,8.5,44.4205632,-88.5150482,0,0,0,0,SEEPAGE,Missing,Outagamie,0,0.20689655172413793
37,1579000,Alligator Lake,4.0,12.0,6.0,45.517014,-89.2989412,0,0,0,0,SPRING,Missing,Oneida,0,0.4482758620689655
38,7900,Allis Lake,7.0,34.0,17.0,43.4464713,-88.1687643,0,0,0,0,SEEPAGE,Missing,Washington,0,0.3103448275862069
39,967900,Alma Lake,58.0,18.0,11.0,45.9097631,-89.4282752,1,1,0,0,SEEPAGE,Moderate,Vilas,1,0.6206896551724138
40,245650,Alpine Lake,50.0,18.0,9.0,44.060486,-89.194145,1,1,0,0,DRAINAGE,Moderate,Waushara,0,0.10344827586206896
41,968000,Alta Lake,9.0,17.0,8.5,45.3423307,-89.195775,0,0,0,0,SEEPAGE,Missing,Langlade,0,0.3448275862068966
42,1832000,Altman Lake,2.0,27.0,13.5,46.1373563,-90.2014554,1,0,0,1,SEEPAGE,Missing,Iron,1,0.5517241379310345
43,2128100,Altoona Lake,720.0,25.0,10.0,44.8149299,-91.4230985,1,1,1,1,DRAINAGE,Low,Eau Claire,1,0.8620689655172413
44,968100,Alva Lake,199.0,43.0,21.5,45.7082067,-89.5927691,1,1,0,1,SEEPAGE,Very Clear,Oneida,1,0.6206896551724138
45,2359700,Amacoy Lake,283.0,20.0,13.0,45.398658,-91.3145902,1,1,0,0,DRAINAGE,Low,Rusk,1,0.7241379310344828
46,2271600,Amber Lake,736.0,21.0,10.5,45.8844652,-89.9945844,1,1,0,1,DRAINAGE,Low,"Vilas, Oneida",1,0.6551724137931034
47,2754100,Ambleside Lake,19.0,29.0,14.5,46.1984509,-89.7351744,0,0,0,0,SEEPAGE,Missing,Vilas,0,0.3793103448275862
48,968200,Ament Lake,12.0,25.0,15.0,45.4173375,-89.511804,1,1,0,0,SEEPAGE,Missing,Lincoln,1,0.5862068965517241
49,2305400,American Lake,10.0,20.0,10.0,46.2722595,-90.0192636,0,0,0,0,DRAINAGE,Missing,Iron,1,0.6551724137931034
50,176000,Amey Pond,59.0,7.0,3.5,43.6471792,-89.6157144,0,0,0,0,SEEPAGE,Missing,Adams,1,0.5517241379310345
51,268200,Amherst Millpond,38.0,7.0,2.0,44.4567923,-89.2824101,1,1,0,1,DRAINAGE,Low,Portage,1,0.6206896551724138
52,2268600,Amik Lake,141.0,8.0,5.0,45.9323606,-90.0333383,1,0,0,1,DRAINAGE,Low,Vilas,1,0.6206896551724138
53,2858100,Amnicon Lake,390.0,31.0,10.0,46.4777493,-92.0610478,1,1,0,0,DRAINAGE,Low,Douglas,1,0.8620689655172413
54,774000,Amy Bell Lake,30.0,37.0,20.0,43.2173683,-88.1894192,0,0,0,0,SEEPAGE,Missing,Washington,0,0.41379310344827586
55,2713200,Anah Springs,4.0,17.0,8.5,45.858275,-91.7608694,0,0,0,0,SPRING,Missing,Washburn,0,0.27586206896551724
56,968400,Anderson Lake,35.0,11.0,5.5,45.278194,-89.1019808,0,0,0,0,SEEPAGE,Missing,Langlade,1,0.5172413793103449
57,968500,Anderson Lake,35.0,63.0,31.5,46.1709627,-89.343878,0,0,0,0,SEEPAGE,Very Clear,Vilas,1,0.5172413793103449
58,2754300,Anderson Lake,5.0,23.0,10.0,46.464554,-91.6951399,0,0,0,0,SEEPAGE,Missing,Douglas,0,0.4827586206896552
59,968300,Anderson Lake,4.0,11.0,5.5,45.276046,-89.5900976,1,0,0,1,SEEPAGE,Missing,Lincoln,0,0.1724137931034483
60,458700,Anderson Lake,177.0,40.0,23.0,45.1140176,-88.4214329,1,1,0,0,DRAINAGE,Missing,Oconto,1,0.7931034482758621
61,1832100,Anderson Lake,15.0,17.0,10.0,45.603314,-91.9264898,1,1,0,0,SEEPAGE,Missing,Barron,1,0.7241379310344828
62,2165700,Anderson Lake,45.0,25.0,12.0,45.2039498,-90.5887137,1,0,0,1,DRAINAGE,Missing,Taylor,1,0.6206896551724138
63,1411300,Anderson Lake,11.0,6.0,3.0,44.6397261,-89.6496991,0,0,0,0,DRAINAGE,Missing,Portage,0,0.27586206896551724
64,1766800,Anderson Lake,11.0,11.0,5.5,45.2004845,-90.379133,0,0,0,0,DRAINAGE,Missing,Taylor,0,0.3793103448275862
65,2206200,Anderson Lake,3.0,42.0,38.0,45.4455964,-90.2064292,0,0,0,0,DRAINAGE,Missing,Price,0,0.41379310344827586
66,2754200,Anderson Lake,31.0,46.0,23.0,46.4037035,-91.3171304,1,0,0,1,SEEPAGE,Missing,Bayfield,0,0.4827586206896552
67,2608400,Anderson Springs,3.0,2.0,1.0,45.0916944,-92.5810167,0,0,0,0,SPRING,Missing,St. Croix,0,0.4482758620689655
68,968600,Andrew Lake,12.0,2.8572787717576515,1.4286393858788258,45.9115481,-89.3845632,0,0,0,0,SEEPAGE,Missing,Vilas,0,0.4482758620689655
69,2668600,Andrus Lake,30.0,12.0,6.0,45.5630678,-92.2598258,1,1,0,0,DRAINAGE,Missing,Polk,1,0.5172413793103449
70,1573000,Angelo Lake,35.0,12.0,6.0,45.7010376,-89.2160097,0,0,0,0,SEEPAGE,Missing,Oneida,1,0.5517241379310345
71,1660400,Angelo Pond,53.0,8.0,2.0,43.9701862,-90.7701624,1,0,0,1,DRAINAGE,Missing,Monroe,1,0.7931034482758621
72,498200,Angle Lake,2.0,8.0,4.0,45.3474513,-88.2045746,1,0,0,1,SEEPAGE,Missing,Marinette,1,0.5172413793103449
73,2754400,Angus Lake,31.0,13.0,7.0,46.5705142,-91.3568429,0,0,0,0,SEEPAGE,Missing,Bayfield,1,0.6206896551724138
74,968700,Anient Lake,11.0,25.0,12.5,45.2912335,-89.6148463,1,0,0,1,SEEPAGE,Missing,Lincoln,0,0.4482758620689655
75,181300,Aninnan Lake,39.0,22.0,11.0,45.4136881,-89.0650677,0,0,0,0,SEEPAGE,Missing,Langlade,0,0.3448275862068966
76,2676400,Ann Lake,28.0,6.0,6.0,45.9094969,-92.2643061,1,0,0,1,SEEPAGE,Missing,Burnett,0,0.20689655172413793
77,2953800,Annabelle Lake,194.0,30.0,12.0,46.2159008,-89.6831654,1,1,0,1,DRAINAGE,Moderate,Vilas,1,0.6896551724137931
78,583600,Annabelle Lake,5.0,29.0,14.5,45.5103204,-88.1331285,0,0,0,0,SEEPAGE,Missing,Marinette,0,0.4482758620689655
79,2754500,Anne Lake,25.0,19.0,9.5,46.2500111,-89.8171844,0,0,0,0,SEEPAGE,Missing,Vilas,0,0.41379310344827586
80,1832200,Anne Lake,34.0,77.0,18.0,46.174336,-89.7864111,1,1,0,1,SEEPAGE,Missing,Vilas,1,0.5172413793103449
81,2898200,Anodanta Lake,26.0,31.0,12.0,46.3819411,-91.2308525,1,1,0,1,DRAINAGE,Missing,Bayfield,1,0.5172413793103449
82,1441100,Antigo Lake (Kellog Pond),30.0,7.0,3.5,45.141705,-89.1439183,1,0,0,1,DRAINAGE,Missing,Langlade,1,0.5172413793103449
83,2449400,Antler Lake,94.0,22.0,9.0,45.5378645,-92.4241137,1,1,0,0,SEEPAGE,Missing,Polk,1,0.6896551724137931
